method,cophenetic,n_clusters,largest_cluster,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
single,0.8138538431592642,6,0.9994174191669094,0.5601154565811157,0.27333737792511564,28.855436165469985,9.095182796422855e-05,0.001296434237563891
complete,0.7522866769596248,6,0.5462666278279444,0.37916216254234314,1.3004328775978429,1898.4099813142814,0.32937340488102307,0.5421361484096984
average,0.8556935260654572,6,0.9846587047286144,0.443092942237854,1.1019529744225123,161.10370041392508,0.0024078862538124456,0.022041210057924164
ward,0.6767338296613211,6,0.31148655209243614,0.11702929437160492,2.4820385027502825,2349.6676953717215,0.459874890109388,0.6014981965896592
