eps,min_samples,n_clusters,noise,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
7.13,5,21,0.6343334304301389,0.013983584009110928,1.445358569556408,38.86557920102443,0.11543417999940904,0.25055268067126385
7.13,10,6,0.6722982813865424,0.099930539727211,1.2795071030917542,53.90091235873653,0.09476994251963303,0.22172978641355626
7.13,20,1,0.7133702301194291,,,,0.07534087162946572,0.19396222460614115
8.18,5,36,0.4919895135450044,0.16172832250595093,1.8896477192155017,80.62341590698587,0.20162580033462008,0.3561058264495387
8.18,10,12,0.5396640450529178,0.366314560174942,1.7603195451434634,119.23837148808019,0.1914041706127157,0.3333361054981153
8.18,20,4,0.5797650257306535,0.12409984320402145,1.4404523701075664,114.67304475723954,0.17558168072855063,0.3091752194820038
9.55,5,40,0.3202252645887951,0.2770131230354309,1.718894220518565,160.06726271741917,0.2718125146707512,0.4220525432074109
9.55,10,10,0.38032818720264105,0.3297199010848999,1.762823423264424,470.46103794404354,0.2602330318182438,0.4126136628349385
9.55,20,4,0.43984852898339644,0.34466251730918884,1.813320918635816,868.6147429727966,0.25015595527948203,0.40360266146269136
10.98,5,18,0.19001844839304782,0.2830156981945038,1.5580730757914731,452.65536241004827,0.3216854054438102,0.47397379066913614
10.98,10,12,0.22817749296048162,0.3095458745956421,1.9323782996085808,616.8096124056146,0.31904073875013944,0.470531374419226
10.98,20,5,0.2785707350228177,0.32259124517440796,1.6487669573225905,1393.1958099468945,0.30373740611344835,0.4574977775293019
12.76,5,7,0.08428002718710559,0.06555207818746567,1.121377090326837,36.50186586987626,0.020665022174528848,0.07928399748991656
12.76,10,4,0.1070006796776386,0.26057159900665283,0.9453313753870322,60.38260233021497,0.02766222730654359,0.08773203570510578
12.76,20,3,0.14642198271676865,0.2793401777744293,0.9204976066781138,92.21366301240543,0.04382391698042708,0.11585375635971035
14.68,5,4,0.03864452859500922,0.25687313079833984,0.999107245393297,22.371832226098075,0.006163324262503022,0.03362409697712501
14.68,10,3,0.050684532478881494,0.31079554557800293,0.9297831432214179,102.98986506037404,0.009943653217451925,0.05250429810093827
14.68,20,2,0.0629187299737839,0.327071875333786,0.9138333811756411,120.66777907644062,0.01192558443155436,0.05402894394511363
