model,n_clusters,noise,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
K-Means (k=2),2,0.0,0.393732488155365,1.070744342906596,7880.81388758683,0.3296106738894193,0.545463859037413
K-Means (k=6),6,0.0,0.10989542305469513,2.3835666590135367,2556.541942984539,0.41962042580459846,0.559326399920236
DBSCAN (561-D),2,0.11544810175745213,0.33955469727516174,0.8729056160461098,103.2097813394597,0.029846266332617426,0.08822263059606066
DBSCAN (PCA-50),2,0.0629187299737839,0.327071875333786,0.9138333811756411,120.66777907644062,0.01192558443155436,0.05402894394511363
HAC Ward (k=6),6,0.0,0.11702929437160492,2.4820385027502825,2349.6676953717215,0.459874890109388,0.6014981965896592
