eps,min_samples,n_clusters,noise,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
10.76,5,35,0.6074376153024565,-0.010056975297629833,1.687831229358732,54.93395417233349,0.11661864832316056,0.2643728736355337
10.76,10,12,0.6564715020875813,0.07970478385686874,1.494352322554956,79.63034439891418,0.0974423818442088,0.23323322847123057
10.76,20,3,0.69948538693077,0.12417822331190109,1.33560043238469,122.03732604455323,0.07908540588708629,0.20403383573260367
11.82,5,32,0.4707253131371978,0.06123406067490578,1.9479150342117089,125.4320022054346,0.1939777227947249,0.3634906148988114
11.82,10,20,0.5208272647829886,0.0752464160323143,2.092590049341007,131.70926602785227,0.17927423314583205,0.3354526544596347
11.82,20,10,0.5718030876784154,0.13827843964099884,1.7131551467053758,133.29668338521813,0.1649906499828569,0.3059862741301613
13.15,5,30,0.33168268763957665,0.3006242513656616,1.6966644063870324,209.46316669312748,0.26021484781772986,0.4073065962194108
13.15,10,14,0.3762501213710069,0.06337346881628036,2.018248399905468,359.54139988125553,0.2490248847718661,0.39773500544252754
13.15,20,4,0.4260607826002525,0.3556859493255615,1.7679153791517834,1116.1771269997134,0.23713555426149605,0.3842455858909631
14.72,5,22,0.21186522963394505,0.12523522973060608,1.4010403125283704,29.3829110071467,0.07367780509673927,0.1576166384885643
14.72,10,5,0.24720846684144093,0.2324545681476593,1.0442210706281672,44.9868742441099,0.08471674540463202,0.1564850446233701
14.72,20,2,0.2842994465482086,0.22577472031116486,1.0469479623853646,40.967588161995266,0.0997766337163234,0.17019993059241975
17.07,5,5,0.097582289542674,0.0992770567536354,1.089278678296656,41.01041737519668,0.02391815361153296,0.08195311245628774
17.07,10,2,0.11544810175745213,0.33955469727516174,0.8729056160461098,103.2097813394597,0.029846266332617426,0.08822263059606066
17.07,20,3,0.1431206913292553,0.28090760111808777,0.9273765122115144,94.77145252631604,0.041510716495075387,0.11114139687346081
19.45,5,2,0.04757743470239828,0.2950868308544159,0.9125052757405326,11.66690440876039,0.00831623461337993,0.04069115782336532
19.45,10,1,0.05466550150500049,,,,0.010025609015849176,0.04520310619317744
19.45,20,1,0.06330711719584425,,,,0.011605712700293,0.047962440796373275
