hidden_layers,width,params,train_acc,train_std,val_acc,val_std,gap,seconds
0,0,63550,0.9974853247404099,0.0008890807448764326,0.72802734375,0.0016194456984157226,0.26945798099040985,0.3249054000043543
1,256,278334,0.9989522397518158,0.0004685859560056798,0.7783203125,0.006974051199748877,0.2206319272518158,0.4332430499998736
2,256,344126,0.9992665648460388,0.0001814928841415695,0.76953125,0.007307924583542854,0.22973531484603882,0.5402450250039692
3,256,409918,0.8186295032501221,0.27978860308893316,0.58740234375,0.1869721931141762,0.23122715950012207,0.6539236000025994
4,256,475710,0.09178541600704193,0.08484342582033669,0.06689453125,0.06380436692076162,0.02489088475704193,0.7800327750010183
5,256,541502,0.024413243867456913,0.013974005190364597,0.0224609375,0.011840191067365372,0.001952306367456913,0.8839517750093364
