model,overall,case_insensitive,Digit,Uppercase,Lowercase
PLA,0.71484375,0.765625,0.7654320987654321,0.7870370370370371,0.6232558139534884
MLP no augmentation,0.783203125,0.84375,0.8148148148148148,0.8564814814814815,0.6976744186046512
MLP,0.837890625,0.892578125,0.8148148148148148,0.9166666666666666,0.7674418604651163
