factor,spread_of_means,spread_of_best
optimizer,0.4212962962962963,0.146484375
cost,0.26126302083333336,0.013671875
lr,0.11393229166666669,0.005859375
batch,0.11310040509259262,0.005859375
activation,0.07659505208333334,0.013671875
