activation,hidden_layers,params,train_acc,val_acc,val_std,gap
relu,1,278334,0.9959136694669724,0.7548828125,0.010472466108167586,0.24103085696697235
relu,2,344126,0.9969614297151566,0.76953125,0.008400708268596315,0.22743017971515656
relu,3,409918,0.995075449347496,0.75,0.008513474499102879,0.24507544934749603
relu,4,475710,0.9920368939638138,0.74169921875,0.01759845829193369,0.2503376752138138
relu,5,541502,0.9938181042671204,0.72998046875,0.011251678341604407,0.26383763551712036
tanh,1,278334,0.9976948946714401,0.767578125,0.002392079826936697,0.23011676967144012
tanh,2,344126,0.9971709996461868,0.767578125,0.007176239480810092,0.22959287464618683
tanh,3,409918,0.9990570098161697,0.7734375,0.006905339660024878,0.22561950981616974
tanh,4,475710,0.9969614446163177,0.7626953125,0.006253051013118016,0.23426613211631775
tanh,5,541502,0.9969614446163177,0.7490234375,0.005777421663183219,0.24793800711631775
sigmoid,1,278334,0.9924560040235519,0.775390625,0.005694288959809864,0.21706537902355194
sigmoid,2,344126,0.9952850043773651,0.7646484375,0.00856930115956262,0.2306365668773651
sigmoid,3,409918,0.995389774441719,0.73046875,0.018425744398548053,0.26492102444171906
sigmoid,4,475710,0.992979884147644,0.61572265625,0.023001104908816166,0.37725722789764404
sigmoid,5,541502,0.9644803106784821,0.51318359375,0.030645240790064854,0.45129671692848206
