metric,PLA_seed42,PLA_mean,PLA_std,Softmax_mean,Softmax_std,MLPnoaug_mean,MLPnoaug_std,MLP_seed42,MLP_mean,MLP_std
accuracy,0.71484375,0.69296875,0.017178619865075018,0.71953125,0.005182226234930313,0.778515625,0.003405389799641151,0.837890625,0.83046875,0.005298695299316616
precision,0.7381697155890704,0.723981297454299,0.01141431286981128,0.7309032723548852,0.00583291085469521,0.7891570168183071,0.00251414058143313,0.8474713458584425,0.8408872758066306,0.0046968619583026075
recall,0.71415770609319,0.6922939068100358,0.017106600761765497,0.719847670250896,0.0050561777704896125,0.7780465949820788,0.0033148066869343996,0.8366935483870968,0.830062724014337,0.005070053691194795
f1,0.7166288522457568,0.6931272359262157,0.017391324045111223,0.7157781868976228,0.00528570568064776,0.7751953891287755,0.003196462751759351,0.8344013802979646,0.8273046854520067,0.004509812050211824
train_acc,0.9983235540653814,0.9921207041072926,0.005550023590024092,0.9973176836967468,0.000863009695663808,0.9990779757499695,0.0003136300644994821,0.9735959768295288,0.9728415846824646,0.0013875170273248388
val_acc,0.697265625,0.671875,0.017160845809756874,0.728125,0.001461584916708571,0.780078125,0.0053274147253851,0.82421875,0.823046875,0.009536371574791955
seconds,3.710548100003507,3.6795151800033636,0.12024082114952273,0.37663696000818164,0.014624095136363799,0.4821695200109389,0.03314658985745674,2.3516075999941677,2.242646979994606,0.06377997191953455
