dropout,weight_decay,train_acc,val_acc,val_std,gap,early_stopping
0.0,0.0,0.9990570247173309,0.779296875,0.005694288959809864,0.21976014971733093,False
0.0,0.0001,0.9898365586996078,0.7607421875,0.005258950006967289,0.22909437119960785,False
0.0,0.001,0.938914492726326,0.75732421875,0.015949690401426832,0.181590273976326,False
0.2,0.0,0.9967518895864487,0.77392578125,0.004228639666916205,0.22282610833644867,False
0.2,0.0001,0.9860645532608032,0.7724609375,0.0065509804028314154,0.21360361576080322,False
0.2,0.001,0.9379715025424957,0.76904296875,0.00773582984265374,0.16892853379249573,False
0.4,0.0,0.9967518895864487,0.77734375,0.006019935549774391,0.21940813958644867,False
0.4,0.0001,0.9873218834400177,0.77490234375,0.007356698815097346,0.2124195396900177,False
0.4,0.001,0.9250838309526443,0.77099609375,0.005756751036402146,0.15408773720264435,False
0.0,0.0,0.959660530090332,0.77587890625,0.006532757890751783,0.18378162384033203,True
