hidden_layers,width,params,train_acc,val_acc,val_std,gap,seconds
1,64,69630,0.9981140047311783,0.74072265625,0.01174922794483981,0.2573913484811783,0.4424083750054706
1,128,139198,0.9989522397518158,0.759765625,0.004979511243742954,0.2391866147518158,0.4465808500026469
1,256,278334,0.9989522397518158,0.7783203125,0.006974051199748877,0.2206319272518158,0.43486114999541314
1,512,556606,0.9990570247173309,0.779296875,0.005694288959809864,0.21976014971733093,0.45091142500314163
1,1024,1113150,0.9992665648460388,0.77294921875,0.008666132494774829,0.22631734609603882,0.4547608249995392
