setting,train_acc,val_acc,val_std,gap
no mitigation,0.9990570247173309,0.779296875,0.005694288959809864,0.21976014971733093
dropout 0.4,0.9967518895864487,0.77734375,0.006019935549774391,0.21940813958644867
weight decay 1e-3,0.938914492726326,0.75732421875,0.015949690401426832,0.181590273976326
dropout 0.4 + weight decay 1e-3,0.9250838309526443,0.77099609375,0.005756751036402146,0.15408773720264435
early stopping (patience 10),0.959660530090332,0.77587890625,0.006532757890751783,0.18378162384033203
"augmentation, 100 epochs",0.9601844102144241,0.81982421875,0.0021283686247757197,0.14036019146442413
"augmentation, 300 epochs",0.9731768816709518,0.82763671875,0.0028887108315916094,0.14554016292095184
"augmentation + dropout 0.4 + weight decay 1e-3, 300 epochs",0.8617979884147644,0.787109375,0.009568319307746789,0.0746886134147644
